repo_id,repo,ecosystem,value_score,risk_score
207021895,feross/queue-microtask,npm,43.1257,36
38923193,sindresorhus/is-plain-obj,npm,41.9606,36
23241722,rust-lang/glob,crates,40.5517,36
7730086,webpack/tapable,npm,38.4686,36
30301031,wesleytodd/setprototypeof,npm,37.9389,36
601943060,sindresorhus/is-inside-container,npm,37.2327,36
155119796,rust-lang/hashbrown,crates,33.1093,36
142657210,python-trio/sniffio,pypi,32.4038,36
45977026,inspect-js/is-array-buffer,npm,28.2,36
358917250,apache/arrow-rs,crates,25.9416,36
88346537,mathiasbynens/unicode-canonical-property-names-ecmascript,npm,25.5362,36
25121561,sindresorhus/meow,npm,25.3706,36
19837758,pypa/packaging,pypi,73.5677,35
185478926,open-telemetry/opentelemetry-python,pypi,56.8025,35
348660847,sindresorhus/is-unicode-supported,npm,43.0402,35
734167706,dtolnay/target-triple,crates,38.2954,35
23088740,axios/axios,npm,33.8365,35
98244646,tower-rs/tower,crates,29.479,35
56964647,pest-parser/pest,crates,29.0076,35
18242629,sindresorhus/strip-indent,npm,28.5488,35
24216676,jshttp/content-disposition,npm,27.4773,35
607836784,inspect-js/array-buffer-byte-length,npm,25.7705,35
703350811,inspect-js/hasown,npm,68.067,34
2014930,mozilla/source-map,npm,65.2594,34
26039547,rust-lang/cc-rs,crates,45.364,34
11061773,eslint/eslint,npm,39.9262,34
760136716,ljharb/possible-typed-array-names,npm,38.9433,34
201714166,inspect-js/has-bigints,npm,37.6781,34
47453723,sindresorhus/strip-final-newline,npm,37.5493,34
21054113,sindresorhus/is-path-inside,npm,37.108,34
793180075,sindresorhus/environment,npm,36.1934,34
183281612,hyperium/http-body,crates,27.5845,34
26042035,rust-lang/pkg-config-rs,crates,25.2507,34
14847357,sindresorhus/onetime,npm,46.2513,33
4090287,paulmillr/chokidar,npm,40.2148,33
30062547,tokio-rs/bytes,crates,34.5408,33
21304485,sindresorhus/detect-newline,npm,32.1147,33
20498698,jshttp/vary,npm,30.1297,33
26042019,rust-lang/libz-sys,crates,26.0608,33
8274071,jshttp/methods,npm,25.8042,33
165536154,typescript-eslint/typescript-eslint,npm,80.6745,32
1362490,psf/requests,pypi,79.2644,32
908607,numpy/numpy,pypi,67.6202,32
560708130,ljharb/gopd,npm,66.0676,32
48706449,sindresorhus/path-key,npm,53.2112,32
8751561,thlorenz/convert-source-map,npm,42.7864,32
17690272,jshttp/statuses,npm,41.8805,32
443970899,inspect-js/node-supports-preserve-symlinks-flag,npm,41.5629,32
1460385,scipy/scipy,pypi,38.5216,32
31656998,sindresorhus/to-fast-properties,npm,28.432,32
41272773,djc/rustc-version-rs,crates,25.8231,32
15014856,chalk/strip-ansi,npm,75.2723,31
26516210,certbot/certbot,pypi,39.4597,31
540138887,ljharb/safe-regex-test,npm,33.3757,31
1385122,matplotlib/matplotlib,pypi,26.1461,31
649850465,inspect-js/typed-array-buffer,npm,25.9742,31
114685405,wasm-bindgen/wasm-bindgen,crates,19.112,31
752160492,ljharb/es-errors,npm,81.9143,30
67836789,tokio-rs/tokio,crates,57.5949,30
6627835,fb55/domelementtype,npm,56.4322,30
21954009,rust-lang/flate2-rs,crates,50.5188,30
858127,pandas-dev/pandas,pypi,47.584,30
23512229,sindresorhus/restore-cursor,npm,42.7024,30
62350380,seanmonstar/reqwest,crates,30.1259,30
